Job Name ,Jop Link ,Job Description, Jop Location,Company Name
Tech Copywriter with AI experience,https://wuzzuf.net/jobs/p/8lQ5pJzAOwiW-Tech-Copywriter-with-AI-experience-scandiweb-Alexandria-Egypt,Full TimeRemoteExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Marketing/PR/Advertising · Media/Journalism/Publishing · Copywriting · AI · Content Editing · Content Creation · SEO · Social Media · Ecommerce,"Alexandria, Egypt ",scandiweb -
Product Manager - EPM/AI/ML,https://wuzzuf.net/jobs/p/2tyQPqVziD1b-Product-Manager---EPMAIML-Azdan-Business-Analytics-Cairo-Egypt,Full TimeRemoteManager · 5 - 7 Yrs of Exp · IT/Software Development · Oracle EPM · EPM · Hyperion · Oracle Hyperion,"Cairo, Egypt ",Azdan Business Analytics -
"A.i. services, automations and data team Member, product development and sales",https://wuzzuf.net/jobs/p/sju1uR6P4gNm-Ai-services-automations-and-data-team-Member-product-development-and-sales-Pharris-Real-Estate-Enterprises-Richmond-United-States,Full TimeRemoteExperienced · 2+ Yrs of Exp · IT/Software Development · AI · API,"Richmond, United States ",Pharris Real Estate Enterprises -
Senior AI Engineer,https://wuzzuf.net/jobs/p/qZt8hX89HQtt-Senior-AI-Engineer-Lumin-Giza-Egypt,Full TimeHybridExperienced · 3 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch,"Sheikh Zayed, Giza, Egypt ",Lumin -
AI Engineer,https://wuzzuf.net/jobs/p/VuUGsRgdzCC6-AI-Engineer-The-Osiris-Labs-Cairo-Egypt,Full TimeHybridExperienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Account Management · Project Management · sales skills · Marketing · Management · Communication,"Mokattam, Cairo, Egypt ",The Osiris Labs  -
AI Engineer,https://wuzzuf.net/jobs/p/qH4psRkbb5yB-AI-Engineer-Arab-AI-Damietta-Egypt,Full TimePart TimeRemoteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AI · Information Technology (IT) · Engineering · Computer Science,"Ras Albar, Damietta, Egypt ",Arab AI -
AI Data Science and Machine Learning Instructor,https://wuzzuf.net/jobs/p/z0CoEumbENY6-AI-Data-Science-and-Machine-Learning-Instructor-CLS-Learning-Solutions-Giza-Egypt,Part TimeFreelance / ProjectHybridExperienced · 3 - 15 Yrs of Exp · Training/Instructor · Machine Learning · AI · Deep Learning · Data Science · Python · Natural Language Processing · Neural Networks · Training · Teaching,"Dokki, Giza, Egypt ",CLS Learning Solutions -
Internet Professionals,https://wuzzuf.net/jobs/p/LJDFunYKrf5W-Internet-Professionals-Las-Vegas-United-States,Full TimeRemoteEntry Level · 1 - 3 Yrs of Exp · Administration · IT/Software Development · Administrative Support · Virtual Assistant · Web Development · call center · customer service · customer support · Web Management · Tech-Savvy,"Las Vegas, United States ",Confidential -
Senior Graphic Designer,https://wuzzuf.net/jobs/p/AKsnXZlX9jZH-Senior-Graphic-Designer-Review-Cairo-Egypt,Full TimeOn-siteExperienced · 3 - 7 Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Adobe illustrator · Adobe Photoshop · Graphic Design · Advertising · Artificial Intelligence (AI),"Heliopolis, Cairo, Egypt ",Review -
Tech Sales Operations Associate,https://wuzzuf.net/jobs/p/Ofv5XTK1hT7B-Tech-Sales-Operations-Associate-intrazero-Cairo-Egypt,Full TimeHybridEntry Level · 1 - 3 Yrs of Exp · Administration · Business Development · IT/Software Development · Administration · Sales Field · Technical Sales · Technology · CRM Software · HubSpot · AI,"Nasr City, Cairo, Egypt ",intrazero -
Operations,https://wuzzuf.net/jobs/p/FEQIOQZax6Sg-Operations-3D-Diagnostix-Cairo-Egypt,Full TimeOn-siteEntry Level · 0 - 2 Yrs of Exp · males_only · R&D/Science · Logistics/Supply Chain · Operations/Management · Operations Management · Data Science · AI · Artificial Intelligence (AI) · Computer Science · 3D Design · Logistics,"Maadi, Cairo, Egypt ",3D Diagnostix -
AI Engineer,https://wuzzuf.net/jobs/p/g/l9vbQXlT1AOg-AI-Engineer-UAE-General-Civil-Aviation-Authority-GCAA-Dubai-United-Arab-Emirates,Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · AI · Information Technology (IT) · Computer Science · Engineering · Python · Software Engineering · NLP,"Dubai, United Arab Emirates ",UAE General Civil Aviation Authority (GCAA) -
B2B Telesales Account Manager,https://wuzzuf.net/jobs/p/4WdN7L62wfoO-B2B-Telesales-Account-Manager-Cairo-Egypt,Full TimeHybridExperienced · 5+ Yrs of Exp · Business Development · IT/Software Development · Sales/Retail · Communication skills · B2B · CRM · English · Management · Marketing · Microsoft Office,"Maadi, Cairo, Egypt ",Confidential -
Office Manager - CEO,https://wuzzuf.net/jobs/p/6ehzgYZw1IJC-Office-Manager---CEO-Cairo-Egypt,Full TimeOn-siteManager · 5 - 8 Yrs of Exp · Administration · Operations/Management · Project/Program Management · business · Business Administration · Management · Office management · Writing · Secretary · Administration,"New Cairo, Cairo, Egypt ",Confidential -
Social Media Marketing Specialist,https://wuzzuf.net/jobs/p/l3dBZ2CKWCIB-Social-Media-Marketing-Specialist-Mubarak-Al-Kabeer-Kuwait,Full TimeRemoteExperienced · 3+ Yrs of Exp · Marketing/PR/Advertising · Media/Journalism/Publishing · Advertisements · designing · E-Marketing · Marketing · media · Social Media · Social media monitoring · AI,"Mubarak Al-Kabeer, Kuwait ",Confidential -
